state;location;zipcode;lon;lat
01;Mölln, Stadt;;;
01;Mölln, Stadt;23879;10,691022;53,629521
01;Ratzeburg, Stadt;;;
01;Ratzeburg, Stadt;23909;10,774492;53,699024
01;Schwarzenbek, Stadt;;;
01;Schwarzenbek, Stadt;21493;10,477663;53,502645
01;Wentorf bei Hamburg;;;
01;Wentorf bei Hamburg;21465;10,2519;53,491012
01;Berkenthin;;;
01;Behlendorf;23919;10,667846;53,699475
01;Berkenthin;23919;10,638221;53,734488
01;Bliestorf;23847;10,602527;53,768797
01;Düchelsdorf;23847;10,580373;53,737072
01;Göldenitz;23919;10,631501;53,722025
01;Kastorf;23847;10,570134;53,748875
01;Klempau;23628;10,660387;53,762851
01;Krummesse;23628;10,641961;53,780123
01;Niendorf bei Berkenthin;23919;10,626158;53,702417
01;Rondeshagen;23919;10,629717;53,753642
01;Sierksrade;23847;10,600344;53,736555
01;Breitenfelde;;;
01;Alt-Mölln;23881;10,658165;53,622775
01;Bälau;23881;10,621739;53,616381
01;Borstorf;23881;10,564234;53,613074
01;Breitenfelde;23881;10,632977;53,605112
01;Grambek;23883;10,68068;53,574025
01;Hornbek;21514;10,648548;53,5589
01;Lehmrade;23883;10,752721;53,5947
01;Niendorf/ Stecknitz;23881;10,609244;53,587228
01;Schretstaken;21493;10,539293;53,586533
01;Talkau;21493;10,568741;53,576852
01;Woltersdorf;21516;10,640176;53,576862
01;Büchen;;;
01;Besenthal;23899;10,743239;53,530139
01;Bröthen;21514;10,667034;53,480281
01;Büchen;21514;10,616482;53,480926
01;Fitzen;21514;10,64667;53,493942
01;Göttin;21514;10,70343;53,533746
01;Gudow;23899;10,77219;53,555336
01;Güster;21514;10,680583;53,53952
01;Klein Pampau;21514;10,586656;53,512681
01;Langenlehsten;21514;10,740533;53,499907
01;Müssen;21516;10,562546;53,494346
01;Roseburg;21514;10,624215;53,530505
01;Schulendorf;21516;10,561815;53,47331
01;Siebeneichen;21514;10,618693;53,510828
01;Tramm;21516;10,614693;53,56324
01;Witzeeze;21514;10,610144;53,452652
01;Hohe Elbgeest;;;
01;Aumühle;21521;10,313492;53,528598
01;Börnsen;21039;10,285588;53,476743
01;Dassendorf;21521;10,372665;53,488608
01;Escheburg;21039;10,309429;53,46713
01;Hamwarde;21502;10,421397;53,452847
01;Hohenhorn;21526;10,367611;53,475734
01;Kröppelshagen-Fahrendorf;21529;10,315197;53,488589
01;Wiershop;21502;10,451895;53,442501
01;Wohltorf;21521;10,291254;53,517253
01;Worth;21502;10,408431;53,467545
01;Lütau;;;
01;Basedow;21483;10,583592;53,416151
01;Buchhorst;21481;10,568335;53,384993
01;Dalldorf;21483;10,610487;53,435521
01;Juliusburg;21483;10,506484;53,41715
01;Krüzen;21483;10,527113;53,401518
01;Krukow;21483;10,478187;53,418864
01;Lanze;21483;10,604387;53,386341
01;Lütau;21483;10,545404;53,435861
01;Schnakenbek;21481;10,50018;53,385426
01;Wangelau;21483;10,546567;53,453726
01;Lauenburgische Seen;;;
01;Albsfelde;23909;10,694451;53,679957
01;Bäk;23909;10,787081;53,716345
01;Brunsmark;23883;10,750236;53,617106
01;Buchholz;23911;10,745377;53,731393
01;Einhaus;23911;10,725697;53,714136
01;Fredeburg;23909;10,72727;53,674253
01;Giesensdorf;23909;10,713651;53,688273
01;Groß Disnack;23911;10,69059;53,741974
01;Groß Grönau;23627;10,750476;53,801387
01;Groß Sarau;23627;10,737415;53,771827
01;Harmsdorf;23911;10,725868;53,700407
01;Hollenbek;23883;10,819794;53,592298
01;Horst;23883;10,77065;53,638591
01;Kittlitz;23911;10,918244;53,664141
01;Klein Zecher;23883;10,872803;53,577413
01;Kulpin;23911;10,695812;53,71009
01;Mechow;23909;10,801815;53,717556
01;Mustin;23911;10,886235;53,68453
01;Pogeez;23911;10,729435;53,750929
01;Römnitz;23909;10,768957;53,710121
01;Salem;23911;10,827965;53,656405
01;Schmilau;23911;10,75597;53,664589
01;Seedorf;23883;10,866858;53,619223
01;Sterley;23883;10,817631;53,620115
01;Ziethen;23911;10,809322;53,693695
01;Schwarzenbek-Land;;;
01;Basthorst;21493;10,47139;53,576616
01;Brunstorf;21524;10,425938;53,491554
01;Dahmker;22946;10,444516;53,587821
01;Elmenhorst;21493;10,537551;53,544876
01;Fuhlenhagen;21493;10,5266;53,572959
01;Grabau;21493;10,519825;53,513609
01;Groß Pampau;21493;10,560301;53,521808
01;Grove;21493;10,492067;53,528123
01;Gülzow;21483;10,490939;53,442249
01;Hamfelde;22929;10,44893;53,597194
01;Havekost;21493;10,473088;53,539918
01;Kankelau;21514;10,56832;53,549311
01;Kasseburg;22929;10,415399;53,567213
01;Köthel;22929;10,510002;53,606936
01;Kollow;21527;10,458784;53,463155
01;Kuddewörde;22958;10,401901;53,587291
01;Möhnsen;21493;10,469197;53,559974
01;Mühlenrade;21493;10,48775;53,595838
01;Sahms;21493;10,532723;53,525807
01;Sandesneben-Nusse;;;
01;Duvensee;23898;10,568351;53,693029
01;Grinau;23847;10,549505;53,775447
01;Groß Boden;23847;10,452871;53,752722
01;Groß Schenkenberg;23860;10,56488;53,793492
01;Klinkrade;23898;10,55033;53,716092
01;Koberg;23881;10,52596;53,639594
01;Kühsen;23898;10,615824;53,682661
01;Labenz;23898;10,524596;53,708352
01;Lankau;23881;10,665636;53,667879
01;Linau;22959;10,46755;53,643933
01;Lüchow;23898;10,529518;53,690744
01;Nusse;23896;10,575979;53,65908
